iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
451	255	283	255	340	255	340	283
452	255	283	255	340	255	340	283
453	255	283	255	340	255	340	283
454	255	283	255	340	255	340	283
455	255	283	255	340	255	340	283
456	255	284	255	340	255	340	284
457	255	284	255	340	255	340	284
458	255	284	255	340	255	340	284
459	255	284	255	340	255	340	284
460	255	284	255	340	255	340	284
461	255	284	255	340	255	340	284
462	255	284	255	340	255	340	284
463	255	284	255	340	255	340	284
464	255	284	255	340	255	340	284
465	255	284	255	340	255	340	284
466	255	284	255	340	255	340	284
467	255	284	255	340	255	340	284
468	255	284	255	340	255	340	284
469	255	284	255	340	255	340	284
470	255	284	255	340	255	340	284
471	255	284	255	340	255	340	284
472	255	284	255	340	255	340	284
473	255	284	255	340	255	340	284
474	255	283	255	340	255	340	283
475	255	283	255	340	255	340	283
476	255	283	255	340	255	340	283
477	255	283	255	340	255	340	283
478	255	283	255	340	255	340	283
479	255	283	255	340	255	340	283
480	255	283	255	340	255	340	283
481	255	283	255	340	255	340	283
482	255	283	255	340	255	340	283
483	255	284	255	340	255	340	284
484	255	284	255	340	255	340	284
485	255	284	255	340	255	340	284
486	255	283	255	340	255	340	283
487	255	284	255	340	255	340	284
488	255	284	255	340	255	340	284
489	255	284	255	340	255	340	284
490	255	284	255	340	255	340	284
491	255	284	255	340	255	340	284
492	255	284	255	340	255	340	284
493	255	284	255	340	255	340	284
494	255	284	255	340	255	340	284
495	255	283	255	340	255	340	283
496	255	283	255	340	255	340	283
497	255	283	255	340	255	340	283
498	256	284	256	340	256	340	284
499	256	284	256	340	256	340	284
500	256	284	256	340	256	340	284
501	256	284	256	340	256	340	284
502	257	285	257	340	257	340	285
503	256	284	256	340	256	340	284
504	256	284	256	340	256	340	284
505	256	284	256	340	256	340	284
506	257	285	257	340	257	340	285
507	257	285	257	340	257	340	285
508	256	283	256	340	256	340	283
509	256	284	256	340	256	340	284
510	256	284	256	340	256	340	284
511	256	284	256	340	256	340	284
512	257	285	257	340	257	340	285
513	257	285	257	340	257	340	285
514	257	285	257	340	257	340	285
515	257	285	257	340	257	340	285
516	257	285	257	340	257	340	285
517	257	285	257	340	257	340	285
518	258	286	258	340	258	340	286
519	258	286	258	340	258	340	286
520	258	286	258	340	258	340	286
521	258	286	258	340	258	340	286
522	258	286	258	340	258	340	286
523	258	286	258	340	258	340	286
524	259	287	259	340	259	340	287
525	259	287	259	340	259	340	287
526	259	287	259	340	259	340	287
527	259	287	259	340	259	340	287
528	259	287	259	340	259	340	287
529	259	287	259	340	259	340	287
530	259	287	259	340	259	340	287
531	259	287	259	340	259	340	287
532	259	287	259	340	259	340	287
533	258	286	258	340	258	340	286
534	258	286	258	340	258	340	286
535	258	286	258	340	258	340	286
536	258	286	258	340	258	340	286
537	258	286	258	340	258	340	286
538	258	286	258	340	258	340	286
539	258	286	258	340	258	340	286
540	258	286	258	340	258	340	286
541	260	288	260	340	260	340	288
542	260	288	260	340	260	340	288
543	260	288	260	340	260	340	288
